[17-Mar-2017 10:01:55 Europe/Berlin] PHP Notice:  Undefined index: hearbeatSelect in C:\xampp\htdocs\VOS.DEMO\install.php on line 81
[17-Mar-2017 10:14:26 Europe/Berlin] Empty module and/or action after parsing the URL "/vos.demo/symfony/web/webres_57eb84702e3066.16112222/js/jquery/jquery.form" (/).
[17-Mar-2017 10:14:27 Europe/Berlin] Empty module and/or action after parsing the URL "/vos.demo/symfony/web/webres_57eb84702e3066.16112222/js/jquery/jquery.form" (/).
[17-Mar-2017 10:14:35 Europe/Berlin] Empty module and/or action after parsing the URL "/vos.demo/symfony/web/webres_57eb84702e3066.16112222/js/jquery/jquery.form" (/).
[17-Mar-2017 10:15:39 Europe/Berlin] Empty module and/or action after parsing the URL "/vos.demo/symfony/web/webres_57eb84702e3066.16112222/js/jquery/jquery.form" (/).
[17-Mar-2017 10:15:41 Europe/Berlin] Empty module and/or action after parsing the URL "/vos.demo/symfony/web/webres_57eb84702e3066.16112222/js/jquery/jquery.form" (/).
[17-Mar-2017 10:15:52 Europe/Berlin] Empty module and/or action after parsing the URL "/vos.demo/symfony/web/webres_57eb84702e3066.16112222/js/jquery/jquery.form" (/).
[17-Mar-2017 10:16:00 Europe/Berlin] Empty module and/or action after parsing the URL "/vos.demo/symfony/web/webres_57eb84702e3066.16112222/js/jquery/jquery.form" (/).
[17-Mar-2017 10:16:01 Europe/Berlin] Empty module and/or action after parsing the URL "/vos.demo/symfony/web/webres_57eb84702e3066.16112222/js/jquery/jquery.form" (/).
[17-Mar-2017 10:16:21 Europe/Berlin] Empty module and/or action after parsing the URL "/vos.demo/symfony/web/webres_57eb84702e3066.16112222/js/jquery/jquery.form" (/).
[17-Mar-2017 10:16:30 Europe/Berlin] Empty module and/or action after parsing the URL "/vos.demo/symfony/web/webres_57eb84702e3066.16112222/js/jquery/jquery.form" (/).
[17-Mar-2017 10:16:55 Europe/Berlin] Empty module and/or action after parsing the URL "/vos.demo/symfony/web/webres_57eb84702e3066.16112222/js/jquery/jquery.form" (/).
[17-Mar-2017 10:16:58 Europe/Berlin] Empty module and/or action after parsing the URL "/vos.demo/symfony/web/webres_57eb84702e3066.16112222/js/jquery/jquery.form" (/).
[17-Mar-2017 10:19:08 Europe/Berlin] Empty module and/or action after parsing the URL "/vos.demo/symfony/web/webres_57eb84702e3066.16112222/js/jquery/jquery.form" (/).
[17-Mar-2017 10:19:08 Europe/Berlin] Empty module and/or action after parsing the URL "/vos.demo/symfony/web/webres_57eb84702e3066.16112222/js/jquery/jquery.form" (/).
[17-Mar-2017 10:19:23 Europe/Berlin] Empty module and/or action after parsing the URL "/vos.demo/symfony/web/webres_57eb84702e3066.16112222/js/jquery/jquery.form" (/).
[17-Mar-2017 10:19:26 Europe/Berlin] Empty module and/or action after parsing the URL "/vos.demo/symfony/web/webres_57eb84702e3066.16112222/js/jquery/jquery.form" (/).
[17-Mar-2017 10:19:38 Europe/Berlin] Empty module and/or action after parsing the URL "/vos.demo/symfony/web/webres_57eb84702e3066.16112222/js/jquery/jquery.form" (/).
[17-Mar-2017 10:19:39 Europe/Berlin] Empty module and/or action after parsing the URL "/vos.demo/symfony/web/webres_57eb84702e3066.16112222/js/jquery/jquery.form" (/).
[17-Mar-2017 10:20:09 Europe/Berlin] Empty module and/or action after parsing the URL "/vos.demo/symfony/web/webres_57eb84702e3066.16112222/js/jquery/jquery.form" (/).
[17-Mar-2017 10:20:11 Europe/Berlin] Empty module and/or action after parsing the URL "/vos.demo/symfony/web/webres_57eb84702e3066.16112222/js/jquery/jquery.form" (/).
[17-Mar-2017 10:20:52 Europe/Berlin] Empty module and/or action after parsing the URL "/vos.demo/symfony/web/webres_57eb84702e3066.16112222/js/jquery/jquery.form" (/).
[17-Mar-2017 10:21:08 Europe/Berlin] Empty module and/or action after parsing the URL "/vos.demo/symfony/web/webres_57eb84702e3066.16112222/js/jquery/jquery.form" (/).
[17-Mar-2017 10:21:23 Europe/Berlin] Empty module and/or action after parsing the URL "/vos.demo/symfony/web/webres_57eb84702e3066.16112222/js/jquery/jquery.form" (/).
[17-Mar-2017 10:21:24 Europe/Berlin] Empty module and/or action after parsing the URL "/vos.demo/symfony/web/webres_57eb84702e3066.16112222/js/jquery/jquery.form" (/).
[17-Mar-2017 10:38:27 Europe/Berlin] Empty module and/or action after parsing the URL "/vos.demo/symfony/web/webres_57eb84702e3066.16112222/orangehrmAdminPlugin/css/viewEducationSuccess.css" (/).
[17-Mar-2017 10:38:35 Europe/Berlin] Empty module and/or action after parsing the URL "/vos.demo/symfony/web/webres_57eb84702e3066.16112222/orangehrmAdminPlugin/css/viewEducationSuccess.css" (/).
[17-Mar-2017 10:38:37 Europe/Berlin] Empty module and/or action after parsing the URL "/vos.demo/symfony/web/webres_57eb84702e3066.16112222/orangehrmAdminPlugin/css/viewEducationSuccess.css" (/).
[17-Mar-2017 10:38:44 Europe/Berlin] Empty module and/or action after parsing the URL "/vos.demo/symfony/web/webres_57eb84702e3066.16112222/orangehrmAdminPlugin/css/viewEducationSuccess.css" (/).
[17-Mar-2017 10:38:51 Europe/Berlin] Empty module and/or action after parsing the URL "/vos.demo/symfony/web/webres_57eb84702e3066.16112222/orangehrmAdminPlugin/css/viewEducationSuccess.css" (/).
[17-Mar-2017 10:39:05 Europe/Berlin] Empty module and/or action after parsing the URL "/vos.demo/symfony/web/webres_57eb84702e3066.16112222/orangehrmAdminPlugin/css/viewEducationSuccess.css" (/).
[17-Mar-2017 10:39:14 Europe/Berlin] Empty module and/or action after parsing the URL "/vos.demo/symfony/web/webres_57eb84702e3066.16112222/orangehrmAdminPlugin/css/viewEducationSuccess.css" (/).
[17-Mar-2017 10:41:09 Europe/Berlin] Empty module and/or action after parsing the URL "/vos.demo/symfony/web/webres_57eb84702e3066.16112222/orangehrmAdminPlugin/css/viewEducationSuccess.css" (/).
[17-Mar-2017 10:41:09 Europe/Berlin] Empty module and/or action after parsing the URL "/vos.demo/symfony/web/webres_57eb84702e3066.16112222/orangehrmAdminPlugin/css/viewEducationSuccess.css" (/).
03/20/17 04:46:33,026 [1372] WARN core.email - Email configuration settings not available
03/20/17 04:51:45,355 [1372] WARN core.email - Email configuration settings not available
03/20/17 04:52:14,036 [1372] WARN core.email - Email configuration settings not available
[23-Mar-2017 05:45:48 Europe/Berlin] Empty module and/or action after parsing the URL "/vos.demo/symfony/web/webres_57eb84702e3066.16112222/js/jquery/jquery.form" (/).
[23-Mar-2017 05:46:00 Europe/Berlin] Empty module and/or action after parsing the URL "/vos.demo/symfony/web/webres_57eb84702e3066.16112222/js/jquery/jquery.form" (/).
[23-Mar-2017 05:46:11 Europe/Berlin] Empty module and/or action after parsing the URL "/vos.demo/symfony/web/webres_57eb84702e3066.16112222/js/jquery/jquery.form" (/).
[23-Mar-2017 05:47:15 Europe/Berlin] Empty module and/or action after parsing the URL "/vos.demo/symfony/web/webres_57eb84702e3066.16112222/js/jquery/jquery.form" (/).
[23-Mar-2017 05:47:16 Europe/Berlin] Empty module and/or action after parsing the URL "/vos.demo/symfony/web/webres_57eb84702e3066.16112222/js/jquery/jquery.form" (/).
[23-Mar-2017 05:47:34 Europe/Berlin] Empty module and/or action after parsing the URL "/vos.demo/symfony/web/webres_57eb84702e3066.16112222/js/jquery/jquery.form" (/).
[23-Mar-2017 05:47:35 Europe/Berlin] Empty module and/or action after parsing the URL "/vos.demo/symfony/web/webres_57eb84702e3066.16112222/js/jquery/jquery.form" (/).
[23-Mar-2017 05:50:58 Europe/Berlin] Empty module and/or action after parsing the URL "/vos.demo/symfony/web/webres_57eb84702e3066.16112222/js/jquery/jquery.form" (/).
[23-Mar-2017 05:52:44 Europe/Berlin] Empty module and/or action after parsing the URL "/vos.demo/symfony/web/webres_57eb84702e3066.16112222/orangehrmAdminPlugin/css/viewEducationSuccess.css" (/).
[23-Mar-2017 07:53:32 Europe/Berlin] Empty module and/or action after parsing the URL "/vos.demo/symfony/web/webres_57eb84702e3066.16112222/js/jquery/jquery.form" (/).
[23-Mar-2017 07:53:33 Europe/Berlin] Empty module and/or action after parsing the URL "/vos.demo/symfony/web/webres_57eb84702e3066.16112222/js/jquery/jquery.form" (/).
